slug,brand,name,ask,retail,ratio,weight,rank
yzy-ys-01-black,Yeezy,YZY YS-01 Black,32,40,0.8,94015,1
air-jordan-4-retro-toro-bravo-2026,Jordan,Jordan 4 Retro Toro Bravo (2026),160,220,0.7273,22436,2
air-jordan-4-retro-og-nigel-sylvester-brick-after-brick,Jordan,Jordan 4 Retro OG Nigel Sylvester Brick After Brick,230,230,1,14553,3
air-jordan-1-retro-low-og-sp-travis-scott-sail-tropical-pink,Jordan,Jordan 1 Retro Low OG SP Travis Scott Sail Tropical Pink,306,155,1.9742,12839,4
air-jordan-1-retro-low-og-sp-travis-scott-shy-pink,Jordan,Jordan 1 Retro Low OG SP Travis Scott Shy Pink,301,155,1.9419,11861,5
mihara-yasuhiro-hank-og-sole-canvas-low-black,Maison Mihara Yasuhiro,Maison Mihara Yasuhiro Hank OG Sole Canvas Low Black,133,220,0.6045,11013,6
yzy-ys-01-silver-green,Yeezy,YZY YS-01 Cream,32,40,0.8,10677,7
nike-air-force-1-low-white-07,Nike,Nike Air Force 1 Low '07 White,70,115,0.6087,9019,10
air-jordan-5-retro-white-metallic-2026,Jordan,Jordan 5 Retro White Metallic (2026),152,215,0.707,8959,9
air-jordan-5-retro-black-university-blue-2026,Jordan,Jordan 5 Retro Black University Blue (2026),254,220,1.1545,8936,8
air-jordan-12-retro-bloodline,Jordan,Jordan 12 Retro Bloodline,180,215,0.8372,8687,11
asics-gel-1130-black-pure-silver,ASICS,ASICS Gel-1130 Black Pure Silver,83,95,0.8737,8342,13
air-jordan-11-retro-gamma-blue-2025,Jordan,Jordan 11 Retro Gamma Blue (2025),202,235,0.8596,8333,12
air-jordan-5-retro-wolf-grey-2026,Jordan,Jordan 5 Retro Wolf Grey (2026),259,220,1.1773,7600,14
air-jordan-3-retro-worlds-best-dad,Jordan,Jordan 3 Retro World's Best Dad,132,215,0.614,5966,17
nike-mind-001-slide-black-chrome,Nike,Nike Mind 001 Slide Black Chrome,171,95,1.8,5622,19
asics-gel-1130-white-pure-silver,ASICS,ASICS Gel-1130 White Pure Silver,85,95,0.8947,5596,21
mihara-yasuhiro-peterson-og-sole-canvas-low-black,Maison Mihara Yasuhiro,Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Black,127,200,0.635,5398,23
new-balance-9060-triple-black,New Balance,New Balance 9060 Triple Black,98,150,0.6533,5408,24
bravest-studios-bear-claw-mule-black,Bravest Studios,Bravest Studios Bear Claw Mule Black,76,110,0.6909,5178,28
timberland-6-inch-premium-waterproof-wheat,Timberland,"Timberland 6"" Premium Waterproof Boot Wheat",94,210,0.4476,5221,27
new-balance-530-silver-metallic-polka-dots,New Balance,New Balance 530 Silver Metallic Polka Dots,104,100,1.04,4664,34
nike-air-max-95-og-big-bubble-pink-foam-womens,Nike,Nike Air Max 95 OG Big Bubble Pink Foam (Women's),122,180,0.6778,4449,35
nike-air-force-1-low-supreme-box-logo-black,Nike,Nike Air Force 1 Low Supreme Black,133,118,1.1271,4448,37
birkenstock-boston-soft-footbed-suede-taupe,Birkenstock,Birkenstock Boston Soft Footbed Suede Taupe,84,155,0.5419,4435,38
crocs-classic-clog-lightning-mcqueen,Crocs,Crocs Classic Clog Lightning McQueen,46,60,0.7667,4303,39
vans-lx-old-skool-36-pearlized-pack-vintage-cocoa-brown,Vans,Vans LX Old Skool 36 Pearlized Pack Vintage Cocoa Brown,250,100,2.5,4291,40
nike-air-force-1-low-supreme-box-logo-white,Nike,Nike Air Force 1 Low Supreme White,129,118,1.0932,4242,43
nike-air-max-95-og-big-bubble-neon-2025,Nike,Nike Air Max 95 OG Big Bubble Neon (2025/2026),150,185,0.8108,4146,44
onitsuka-tiger-mexico-66-kill-bill-2022,ASICS,Onitsuka Tiger Mexico 66 Kill Bill,123,120,1.025,3756,46
asics-gel-kayano-14-white-graphite-grey,ASICS,ASICS Gel-Kayano 14 White Graphite Grey,128,150,0.8533,3564,47
nike-mind-001-slide-light-smoke-grey,Nike,Nike Mind 001 Slide Light Smoke Grey,152,95,1.6,3280,51
